T,|M|,|E|,chi,cv
0.5,1.0000000000171856,4.0000000000687423,-6.8742345149530593e-11,-8.7990201791399159e-13
0.55000000000000004,0.99999934321718742,3.9999947456687557,8.920666225910942e-10,4.3703435434403483e-11
0.60000000000000009,0.999998896817063,3.9999911744687648,1.4121215308193767e-09,6.206061442526332e-11
0.65000000000000013,0.99998397841685926,3.9998733440690621,2.0205692162169093e-08,7.6549921546896985e-10
0.70000000000000018,0.99998426321694733,3.9998741056687277,1.7582826306039575e-08,6.4434166483110548e-10
0.75000000000000022,0.99995271521634477,3.9996243584684912,4.88182669104257e-08,1.6268541584294214e-09
0.80000000000000027,0.99987749441360008,3.99902397126472,1.1227850468809027e-07,3.542352505769839e-09
0.85000000000000031,0.99977528081362566,3.9982162880659451,2.3514856728468195e-07,6.9042844760883962e-09
0.90000000000000036,0.99971405281173098,3.9977440608629351,3.0382612759005657e-07,8.1984373984854642e-09
0.9500000000000004,0.99945978400715862,3.9957665824604485,4.5563320052572071e-07,1.1528908879040303e-08
1.0000000000000004,0.99931331680810576,3.9945640800588662,5.6587621122261545e-07,1.4056215197655306e-08
1.0500000000000005,0.99906818160365418,3.9926814976556821,7.0971562880574486e-07,1.5976050850072372e-08
1.1000000000000005,0.99830574240508163,3.9868581920515651,1.3987808795084589e-06,2.9140595678417995e-08
1.1500000000000006,0.99791401520471135,3.9839390272576223,1.5473163760898701e-06,3.0031736416825822e-08
1.2000000000000006,0.99691654400706264,3.9762378784401053,2.4968085387174384e-06,4.6511943853448135e-08
1.2500000000000007,0.99607643680840086,3.9701454944300507,2.934242559859966e-06,5.0713365440060383e-08
1.3000000000000007,0.99490974560864709,3.9613066624107676,3.8987529141861659e-06,6.2813663708102369e-08
1.3500000000000008,0.99324396160879536,3.9490862239876767,4.936902445041156e-06,7.5434749616754166e-08
1.4000000000000008,0.99180066720281379,3.9387240607844776,6.1226417433620904e-06,8.5409839231222968e-08
1.4500000000000008,0.98939696319823034,3.9224312447839815,8.5225075419081924e-06,1.0867246526036938e-07
1.5000000000000009,0.98604480239319714,3.8997534080014602,1.2543294624893039e-05,1.3525157286077636e-07
1.5500000000000009,0.98397153279250993,3.8846929216025106,1.2386363180862152e-05,1.3617969522061465e-07
1.600000000000001,0.98002137839464354,3.8589566528126817,2.0331095647863049e-05,2.0377914361519008e-07
1.650000000000001,0.9753895583979354,3.828895020810442,1.9898987216108186e-05,1.6604086381053044e-07
1.7000000000000011,0.96946891840112515,3.7931040127965132,2.8688997741430877e-05,2.1950472575717775e-07
1.7500000000000011,0.96479138960289801,3.7625312031937916,3.0095668769103392e-05,2.3460814713314655e-07
1.8000000000000012,0.95684606960387897,3.7162343168032241,4.3125187939462141e-05,2.8395466915981828e-07
1.8500000000000012,0.94692836480040565,3.6681776127986296,7.9845675982250921e-05,3.5426303208705554e-07
1.9000000000000012,0.93754269119950695,3.6163862687963158,8.1333943499423963e-05,3.8582514356772412e-07
1.9500000000000013,0.92706000240092667,3.5585985248001641,0.00010113362047250776,4.0714028639389066e-07
2.0000000000000013,0.91798319280076068,3.5156553216007445,0.00010686562522871361,3.8920831406734584e-07
2.0500000000000012,0.89990363519998606,3.4316967039982513,0.00016800109696984291,5.7156609017672515e-07
2.100000000000001,0.87315109359902365,3.338866451195325,0.00025031128359508949,5.9405491223263843e-07
2.1500000000000008,0.84134242479978782,3.2199628223997001,0.00054411943068502803,8.7033406952510768e-07
2.2000000000000006,0.77781643279957169,3.0818549823973975,0.0009370218582076638,9.1557632621495225e-07
2.2500000000000004,0.75272710800003761,2.9833897375949046,0.00066994625457894575,7.036212448730266e-07
2.3000000000000003,0.56814206159969693,2.7239052351963595,0.0049157708442695959,8.0201500133720562e-07
2.3500000000000001,0.47196469279989234,2.5909770527985949,0.0042007547316782138,1.0501861790677828e-06
2.3999999999999999,0.071746087199963421,2.3898800224003369,0.017347113409045805,5.4600522076293023e-07
2.4499999999999997,0.38629814799983114,2.3556910207988651,0.0053939094063685323,5.9649450579387083e-07
2.4999999999999996,0.10432989919999196,2.2341424767989158,0.011824074316159474,5.7202904990424506e-07
2.5499999999999994,0.02633317039999851,2.1303229152020409,0.0039528989230592461,4.0072439202217665e-07
2.5999999999999992,0.01054706719999474,2.0632417119997828,0.005755210631154326,3.6126212612019628e-07
2.649999999999999,0.049783866400006267,1.9783745952016885,0.0052519994493075367,4.0459617813176928e-07
2.6999999999999988,0.073509015199993255,1.9405907775995885,0.0019328737730953773,3.1500290256931032e-07
2.7499999999999987,0.010695950399999514,1.8750707424000608,0.0069077534943131893,3.2988551184206835e-07
2.7999999999999985,0.049241153600001024,1.8167140735988596,0.0020062022728476749,2.9352819814421089e-07
2.8499999999999983,0.0068786232000003014,1.7759260544001347,0.001131204620405122,2.5985261387758679e-07
2.8999999999999981,0.0013305920000007188,1.7237301120004385,0.0015566593471354484,3.1174463543998882e-07
2.949999999999998,0.016245216799999518,1.6775160096004917,0.0010791670093832321,2.6331398676142195e-07
2.9999999999999978,0.0062972991999997669,1.6259056223997035,0.0013648848289310287,2.3907048455596161e-07
3.0499999999999976,0.0039313239999978688,1.6034093919990857,0.0012243445541013859,2.2174511637426773e-07
3.0999999999999974,0.01215696639999799,1.5593416479992068,0.00086476407502899199,2.0560010831102347e-07
3.1499999999999972,0.0091765103999991559,1.5180210271996204,0.00090315448114318376,1.7876043886761907e-07
3.1999999999999971,0.0048854584000005757,1.4984544799994004,0.0007653384211693242,2.2527027470142136e-07
