type,particle_number,time
0,1,0.00515475
0,2,0.00465568
0,4,0.016075
0,8,0.0618757
0,16,0.198046
0,32,0.489132
0,64,1.29925
0,128,6.2528
0,256,26.1255
0,512,116.841
0,1024,482.058
0,2048,1780.28
0,4096,6525.08
0,8192,25551.7
