type,particle_number,time
2,1,0.00150241
2,2,0.00535872
2,4,0.0223733
2,8,0.0918066
2,16,0.296271
2,32,0.58544
2,64,1.2333
2,128,2.80407
2,256,6.47605
2,512,15.5613
2,1024,34.9062
2,2048,60.789
2,4096,119.872
2,8192,265.262
